Name,Developer,Version,Loader,Enabled,FileName,Path
Configured,MrCrayfish,2.6.3,NeoForge,true,configured-neoforge-1.21.1-2.6.3.jar,C:\Users\Lucky56\github\modpacks\mods\configured-neoforge-1.21.1-2.6.3.jar
Connectivity Mod,Someaddon,7.6,NeoForge,true,connectivity-1.21.1-7.6.jar,C:\Users\Lucky56\github\modpacks\mods\connectivity-1.21.1-7.6.jar
connector,Sinytra,2.0.0-beta.14+1.21.1,-,true,connector-2.0.0-beta.14+1.21.1-full.jar,C:\Users\Lucky56\github\modpacks\mods\connector-2.0.0-beta.14+1.21.1-full.jar
Continents,Stardust Labs,1.1.13,"NeoForge, Forge, Fabric, Quilt",true,Continents_26.1_v1.1.13.jar,C:\Users\Lucky56\github\modpacks\mods\Continents_26.1_v1.1.13.jar
Continuity,PepperCode1,3.0.0+1.21.neoforge,"NeoForge, Fabric",true,continuity-3.0.0+1.21.neoforge.jar,C:\Users\Lucky56\github\modpacks\mods\continuity-3.0.0+1.21.neoforge.jar
Controlling,Jaredlll08,19.0.5,NeoForge,true,Controlling-neoforge-1.21.1-19.0.5.jar,C:\Users\Lucky56\github\modpacks\mods\Controlling-neoforge-1.21.1-19.0.5.jar
Cooking for Blockheads,BlayTheNinth,21.1.23,NeoForge,true,cookingforblockheads-neoforge-1.21.1-21.1.23.jar,C:\Users\Lucky56\github\modpacks\mods\cookingforblockheads-neoforge-1.21.1-21.1.23.jar
Cool Rain,Leclowndu93150,1.0.1,NeoForge,true,coolrain-1.21.1-NeoForge-1.0.1.jar,C:\Users\Lucky56\github\modpacks\mods\coolrain-1.21.1-NeoForge-1.0.1.jar
Copper Age Backport,Smallinger,0.1.4,NeoForge,true,copperagebackport-neoforge-1.21.1-0.1.4.jar,C:\Users\Lucky56\github\modpacks\mods\copperagebackport-neoforge-1.21.1-0.1.4.jar
Create: Copycats+,"Lysine, Bennyboy1695, Redcat_XVIII",3.0.4+mc.1.21.1-neoforge,NeoForge,true,copycats-3.0.4+mc.1.21.1-neoforge.jar,C:\Users\Lucky56\github\modpacks\mods\copycats-3.0.4+mc.1.21.1-neoforge.jar
CoroUtil,Corosus,1.21.0-1.3.8,NeoForge,true,coroutil-neoforge-1.21.0-1.3.8.jar,C:\Users\Lucky56\github\modpacks\mods\coroutil-neoforge-1.21.0-1.3.8.jar
Cosy Critters & Creepy Crawlies,pigcart,0.3.2,NeoForge,true,cosycritters-0.3.2+1.21.1-neoforge.jar,C:\Users\Lucky56\github\modpacks\mods\cosycritters-0.3.2+1.21.1-neoforge.jar
Crafting Tweaks,BlayTheNinth,21.1.10,NeoForge,true,craftingtweaks-neoforge-1.21.1-21.1.10.jar,C:\Users\Lucky56\github\modpacks\mods\craftingtweaks-neoforge-1.21.1-21.1.10.jar
Crash Assistant,KostromDan,1.11.10,NeoForge,true,CrashAssistant-neoforge-1.20.6-1.21.4-1.11.10.jar,C:\Users\Lucky56\github\modpacks\mods\CrashAssistant-neoforge-1.20.6-1.21.4-1.11.10.jar
Create,simibubi,6.0.10,NeoForge,true,create-1.21.1-6.0.10.jar,C:\Users\Lucky56\github\modpacks\mods\create-1.21.1-6.0.10.jar
Create Aeronautics,Simulated Team,1.3.0,NeoForge,true,create-aeronautics-bundled-1.21.1-1.3.0.jar,C:\Users\Lucky56\github\modpacks\mods\create-aeronautics-bundled-1.21.1-1.3.0.jar
Create: Cardboarded Conveynience,TakeruDavis,1.0.0,NeoForge,true,create-cardboarded-conveynience-1.21.1-neoforge-1.0.0.jar,C:\Users\Lucky56\github\modpacks\mods\create-cardboarded-conveynience-1.21.1-neoforge-1.0.0.jar
Create: Central Kitchen,DragonsPlus,2.5.0,NeoForge,true,create-central-kitchen-2.5.0.jar,C:\Users\Lucky56\github\modpacks\mods\create-central-kitchen-2.5.0.jar
Create: Enchantment Industry,DragonsPlus,2.4.2,NeoForge,true,create-enchantment-industry-2.4.2.jar,C:\Users\Lucky56\github\modpacks\mods\create-enchantment-industry-2.4.2.jar
Create: Integrated Farming,DragonsPlus,1.2.6,NeoForge,true,create-integrated-farming-1.2.6.jar,C:\Users\Lucky56\github\modpacks\mods\create-integrated-farming-1.2.6.jar
Jade Addon: TFMG Compat,Agent772,1.0.0,NeoForge,true,create-jadeaddon-tfmg-compat-1.0.0.jar,C:\Users\Lucky56\github\modpacks\mods\create-jadeaddon-tfmg-compat-1.0.0.jar
Create: More Girder,Agent772,2.1.1,NeoForge,true,create-more-girder-2.1.1-neo.jar,C:\Users\Lucky56\github\modpacks\mods\create-more-girder-2.1.1-neo.jar
CreateBetterFps,MoePus,1.1.4,NeoForge,true,createbetterfps-1.21.1-1.1.4.jar,C:\Users\Lucky56\github\modpacks\mods\createbetterfps-1.21.1-1.1.4.jar
